Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,-16.0,16.5,90.0,top
C2,10uF,C_0805_2012Metric,-16.0,13.0,-90.0,top
C3,10uF,C_0805_2012Metric,-11.0,6.0,-90.0,top
C5,0.1uF,C_0805_2012Metric,10.0,-8.0,0.0,top
C6,0.1uF,C_0805_2012Metric,10.0,-1.0,0.0,top
C7,0.1uF,C_0805_2012Metric,1.0,-13.0,90.0,top
C8,0.1uF,C_0805_2012Metric,10.0,-15.0,0.0,top
C9,0.1uF,C_0805_2012Metric,23.0,-13.0,90.0,top
R1,1K,R_0805_2012Metric,-2.5,17.0,180.0,top
R2,10K,R_0805_2012Metric,-2.5,15.0,0.0,top
R3,1K,R_0805_2012Metric,-2.5,12.5,180.0,top
R4,10K,R_0805_2012Metric,-2.5,10.5,0.0,top
R5,1K,R_0805_2012Metric,-2.5,8.0,180.0,top
R6,10K,R_0805_2012Metric,-2.5,6.0,0.0,top
R7,10K,R_0805_2012Metric,-7.0,25.5,90.0,top
R8,10K,R_0805_2012Metric,7.0,25.5,90.0,top
R9,10K,R_0805_2012Metric,14.0,-8.0,180.0,top
R10,10K,R_0805_2012Metric,14.0,-1.0,180.0,top
R11,10K,R_0805_2012Metric,1.0,-9.0,-90.0,top
R12,10K,R_0805_2012Metric,14.0,-15.0,180.0,top
R13,10K,R_0805_2012Metric,23.0,-9.0,-90.0,top
R14,1K,R_0805_2012Metric,-2.5,3.75,0.0,top
R15,1K,R_0805_2012Metric,-19.5,5.5,180.0,top
R17,10K,R_0805_2012Metric,28.4,-0.0,90.0,bottom
R18,10K,R_0805_2012Metric,-25.2,3.0,180.0,bottom
SW6,SW_Push,Tactile1,1.5,0.5,0.0,top
SW7,SW_Push,Tactile1,1.5,-4.0,0.0,top
