Designator,Footprint,Quantity,Value,LCSC Part #
3.3V        VBUS,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_2_Small_Open,
"BT1, BT2, BT3",AAA-holder,3,1.5V,
"C1, C10, C5, C6, C7, C8, C9",0805,7,0.1uF,
"C2, C3",0805,2,10uF,
C4,CP_Radial_D6.3mm_P2.50mm,1,100uF,
"D2, D3",0805,2,LED,
FB1,0603,1,FerriteBead_Small,
J1,PinSocket_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,
"J2, J3, J4, J5",Pin-Extender,4,Conn_01x08_Pin,
"PRG, RST",Tactile1,2,SW_Push,
PWR,0805,1,PWR,
"R1, R14, R15, R3, R5",0805,5,1K,
"R10, R11, R12, R13, R2, R4, R6, R7, R8, R9",0805,10,10K,
"R16, R17",0805,2,330,
"SW1, SW2, SW3, SW4, SW5",TVBP06-B043C,5,SW_Push,
SW8,SS12D01G4,1,SW_SPDT,
U1,MonoWireless_TWE-L-WX,1,TWE-L-WX,
U2,SOT-223-3_TabPin2,1,LM1117MP-3.3,
U3,Display,1,~,
U4,GPS-54D-014,1,~,
